name,number,budget,dept_id
Easter2016,0,5000,1
Easter2017,0,15000,1
Easter2018,0,30000,1
Easter2019,0,60000,1
Easter2020,0,60000,1
Easter2021,0,70000,1
Easter2022,0,70000,1
Easter2023,0,70000,1
July Fourth2016,1,7000,1
July Fourth2017,1,9000,1
July Fourth2018,1,30000,1
July Fourth2019,1,70000,1
July Fourth2020,1,80000,1
July Fourth2021,1,80000,1
July Fourth2022,1,90000,1
July Fourth2023,1,100000,1
Black Friday2016,2,9000,1
Black Friday2017,2,30000,1
Black Friday2018,2,90000,1
Black Friday2019,2,100000,1
Black Friday2020,2,100000,1
Black Friday2021,2,100000,1
Black Friday2022,2,100000,1
Christmas2016,3,10000,1
Christmas2017,3,30000,1
Christmas2018,3,30000,1
Christmas2019,3,40000,1
Christmas2020,3,40000,1
Christmas2021,3,40000,1
Christmas2022,3,50000,1
Thanks Giving2016,4,4000,1
Thanks Giving2017,4,20000,1
Thanks Giving2018,4,20000,1
Thanks Giving2019,4,30000,1
Thanks Giving2020,4,30000,1
Thanks Giving2021,4,30000,1
Thanks Giving2022,4,40000,1
Procurement and Supplier Management Phase1, 5, 50000, 5
Procurement and Supplier Management Phase2, 5, 100000, 5
Procurement and Supplier Management Phase3, 5, 25000, 5
Accounting System Upgrade, 6, 25000, 2
Financial Analysis and Reporting Automation, 7, 20000, 2
Employee Training Programm, 8, 100000, 3
Network Security Enhancement, 9, 500000, 4
Product Innovation Initiative, 10, 10000, 6 
Product Development, 10, 100000, 6
Contract Review and Compliance, 11, 600000, 7
Call center, 12, 1000000, 8
Customer Experience Analysis, 13, 400000, 8